rosbagTimestamp,layout,dim,-,label,size,stride,data_offset,data
1653915388347188931,,,"""distance-confidence""",2,0,0,"[955.0, 100.0]"
1653915388440040582,,,"""distance-confidence""",2,0,0,"[955.0, 100.0]"
1653915388507233697,,,"""distance-confidence""",2,0,0,"[955.0, 100.0]"
1653915388603220591,,,"""distance-confidence""",2,0,0,"[961.0, 100.0]"
1653915388664775047,,,"""distance-confidence""",2,0,0,"[961.0, 100.0]"
1653915388757557064,,,"""distance-confidence""",2,0,0,"[961.0, 100.0]"
1653915388840643548,,,"""distance-confidence""",2,0,0,"[961.0, 100.0]"
1653915388924213335,,,"""distance-confidence""",2,0,0,"[968.0, 100.0]"
1653915388998865085,,,"""distance-confidence""",2,0,0,"[968.0, 100.0]"
1653915389081393767,,,"""distance-confidence""",2,0,0,"[968.0, 100.0]"
1653915389162649350,,,"""distance-confidence""",2,0,0,"[968.0, 100.0]"
1653915389242661730,,,"""distance-confidence""",2,0,0,"[974.0, 100.0]"
1653915389319291460,,,"""distance-confidence""",2,0,0,"[974.0, 100.0]"
1653915389400751687,,,"""distance-confidence""",2,0,0,"[974.0, 100.0]"
1653915389483605682,,,"""distance-confidence""",2,0,0,"[974.0, 100.0]"
1653915389578478234,,,"""distance-confidence""",2,0,0,"[981.0, 100.0]"
1653915389643439922,,,"""distance-confidence""",2,0,0,"[981.0, 100.0]"
1653915389739224599,,,"""distance-confidence""",2,0,0,"[981.0, 100.0]"
1653915389804570355,,,"""distance-confidence""",2,0,0,"[981.0, 100.0]"
1653915389898710663,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653915389977634722,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653915390057306669,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653915390139322232,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653915390215946213,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653915390295523250,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653915390375034154,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653915390466764103,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
