rosbagTimestamp,channels
1653915410555333553,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653915410856253056,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653915412077903429,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653915412105769808,"[1500, 1500, 1500, 1499, 1536, 1500, 1500, 1500]"
1653915412144863399,"[1500, 1500, 1500, 1499, 1537, 1500, 1500, 1500]"
1653915412175827378,"[1500, 1500, 1500, 1499, 1538, 1500, 1500, 1500]"
1653915412206455934,"[1500, 1500, 1500, 1499, 1538, 1500, 1500, 1500]"
1653915412241502159,"[1500, 1500, 1500, 1499, 1539, 1500, 1500, 1500]"
1653915412276836661,"[1500, 1500, 1500, 1498, 1540, 1500, 1500, 1500]"
1653915412305587513,"[1500, 1500, 1500, 1498, 1540, 1500, 1500, 1500]"
1653915412340566016,"[1500, 1500, 1500, 1498, 1541, 1500, 1500, 1500]"
1653915412376023823,"[1500, 1500, 1500, 1498, 1542, 1500, 1500, 1500]"
1653915412407468449,"[1500, 1500, 1500, 1497, 1543, 1500, 1500, 1500]"
1653915412438522006,"[1500, 1500, 1500, 1497, 1543, 1500, 1500, 1500]"
1653915412475053907,"[1500, 1500, 1500, 1496, 1544, 1500, 1500, 1500]"
1653915412506112504,"[1500, 1500, 1500, 1496, 1544, 1500, 1500, 1500]"
1653915412537342596,"[1500, 1500, 1500, 1496, 1545, 1500, 1500, 1500]"
1653915412576882166,"[1500, 1500, 1500, 1496, 1546, 1500, 1500, 1500]"
1653915412606097560,"[1500, 1500, 1500, 1496, 1546, 1500, 1500, 1500]"
1653915412637059821,"[1500, 1500, 1500, 1496, 1547, 1500, 1500, 1500]"
1653915412670390627,"[1500, 1500, 1500, 1497, 1548, 1500, 1500, 1500]"
1653915412703587383,"[1500, 1500, 1500, 1497, 1548, 1500, 1500, 1500]"
1653915412738019963,"[1500, 1500, 1500, 1497, 1549, 1500, 1500, 1500]"
1653915412766947664,"[1500, 1500, 1500, 1498, 1549, 1500, 1500, 1500]"
1653915412805372797,"[1500, 1500, 1500, 1498, 1550, 1500, 1500, 1500]"
1653915412836898014,"[1500, 1500, 1500, 1499, 1551, 1500, 1500, 1500]"
1653915412866567750,"[1500, 1500, 1500, 1500, 1551, 1500, 1500, 1500]"
1653915412898299753,"[1500, 1500, 1500, 1500, 1552, 1500, 1500, 1500]"
1653915412937167766,"[1500, 1500, 1500, 1500, 1552, 1500, 1500, 1500]"
1653915412973828101,"[1500, 1500, 1500, 1501, 1553, 1500, 1500, 1500]"
1653915412997503079,"[1500, 1500, 1500, 1501, 1553, 1500, 1500, 1500]"
1653915413032312576,"[1500, 1500, 1500, 1501, 1554, 1500, 1500, 1500]"
1653915413067143510,"[1500, 1500, 1500, 1501, 1555, 1500, 1500, 1500]"
1653915413101935451,"[1500, 1500, 1500, 1502, 1555, 1500, 1500, 1500]"
1653915413135440169,"[1500, 1500, 1500, 1502, 1556, 1500, 1500, 1500]"
1653915413165586793,"[1500, 1500, 1500, 1501, 1556, 1500, 1500, 1500]"
1653915413198066397,"[1500, 1500, 1500, 1501, 1557, 1500, 1500, 1500]"
1653915413231630242,"[1500, 1500, 1500, 1501, 1557, 1500, 1500, 1500]"
1653915413265301085,"[1500, 1500, 1500, 1501, 1558, 1500, 1500, 1500]"
1653915413297750143,"[1500, 1500, 1500, 1501, 1558, 1500, 1500, 1500]"
1653915413331776970,"[1500, 1500, 1500, 1500, 1559, 1500, 1500, 1500]"
1653915413365587626,"[1500, 1500, 1500, 1500, 1559, 1500, 1500, 1500]"
1653915413398404910,"[1500, 1500, 1500, 1500, 1560, 1500, 1500, 1500]"
1653915413429687008,"[1500, 1500, 1500, 1499, 1560, 1500, 1500, 1500]"
1653915413464584207,"[1500, 1500, 1500, 1499, 1560, 1500, 1500, 1500]"
1653915413498278490,"[1500, 1500, 1500, 1499, 1561, 1500, 1500, 1500]"
1653915413530370141,"[1500, 1500, 1500, 1499, 1561, 1500, 1500, 1500]"
1653915413562019113,"[1500, 1500, 1500, 1498, 1562, 1500, 1500, 1500]"
1653915413596484070,"[1500, 1500, 1500, 1498, 1562, 1500, 1500, 1500]"
1653915413629007628,"[1500, 1500, 1500, 1498, 1562, 1500, 1500, 1500]"
1653915413657871054,"[1500, 1500, 1500, 1498, 1563, 1500, 1500, 1500]"
1653915413695416736,"[1500, 1500, 1500, 1498, 1563, 1500, 1500, 1500]"
1653915413728596102,"[1500, 1500, 1500, 1499, 1564, 1500, 1500, 1500]"
1653915413761814866,"[1500, 1500, 1500, 1499, 1564, 1500, 1500, 1500]"
1653915413793432939,"[1500, 1500, 1500, 1499, 1564, 1500, 1500, 1500]"
1653915413827699791,"[1500, 1500, 1500, 1499, 1565, 1500, 1500, 1500]"
1653915413857570224,"[1500, 1500, 1500, 1499, 1565, 1500, 1500, 1500]"
1653915413892157982,"[1500, 1500, 1500, 1499, 1565, 1500, 1500, 1500]"
1653915413925663091,"[1500, 1500, 1500, 1499, 1566, 1500, 1500, 1500]"
1653915413959359886,"[1500, 1500, 1500, 1499, 1566, 1500, 1500, 1500]"
1653915413992233413,"[1500, 1500, 1500, 1499, 1566, 1500, 1500, 1500]"
1653915414026014883,"[1500, 1500, 1500, 1499, 1567, 1500, 1500, 1500]"
1653915414057406639,"[1500, 1500, 1500, 1499, 1567, 1500, 1500, 1500]"
1653915414087455069,"[1500, 1500, 1500, 1499, 1567, 1500, 1500, 1500]"
1653915414125517727,"[1500, 1500, 1500, 1499, 1568, 1500, 1500, 1500]"
1653915414156347884,"[1500, 1500, 1500, 1499, 1568, 1500, 1500, 1500]"
1653915414186758618,"[1500, 1500, 1500, 1499, 1568, 1500, 1500, 1500]"
1653915414223769270,"[1500, 1500, 1500, 1499, 1568, 1500, 1500, 1500]"
1653915414256882315,"[1500, 1500, 1500, 1499, 1569, 1500, 1500, 1500]"
1653915414286243822,"[1500, 1500, 1500, 1499, 1569, 1500, 1500, 1500]"
1653915414319293169,"[1500, 1500, 1500, 1499, 1569, 1500, 1500, 1500]"
1653915414354512304,"[1500, 1500, 1500, 1499, 1569, 1500, 1500, 1500]"
1653915414385911261,"[1500, 1500, 1500, 1498, 1569, 1500, 1500, 1500]"
1653915414417131035,"[1500, 1500, 1500, 1498, 1570, 1500, 1500, 1500]"
1653915414454883954,"[1500, 1500, 1500, 1498, 1570, 1500, 1500, 1500]"
1653915414486874697,"[1500, 1500, 1500, 1498, 1570, 1500, 1500, 1500]"
1653915414519439304,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653915414549806514,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653915414585806373,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653915414618941829,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653915414651991852,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653915414684363750,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653915414719111697,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653915414746297357,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653915414783119191,"[1500, 1500, 1500, 1496, 1571, 1500, 1500, 1500]"
1653915414817296830,"[1500, 1500, 1500, 1496, 1571, 1500, 1500, 1500]"
1653915414847612244,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915414879740431,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915414916664389,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915414946275256,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915414981466136,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915415012992334,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915415046514200,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915415078796189,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915415113781673,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653915415144642639,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653915415177845511,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653915415209630187,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653915415245615107,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653915415277978405,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653915415310135323,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415344023881,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415377769863,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415413310805,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415445988552,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415476539123,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415509257935,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415544943719,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415576598727,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653915415606175875,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653915415639491892,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653915415674741614,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653915415705836762,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653915415741981372,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653915415774670713,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653915415804949741,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653915415837052585,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653915415871555645,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653915415905617512,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653915415936959844,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653915415969412271,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653915416003592828,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653915416037269717,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653915416066592491,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653915416104315515,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653915416136300767,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653915416166957382,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653915416199880174,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653915416237826750,"[1500, 1500, 1500, 1498, 1568, 1500, 1500, 1500]"
1653915416265835418,"[1500, 1500, 1500, 1498, 1568, 1500, 1500, 1500]"
1653915416299297335,"[1500, 1500, 1500, 1498, 1568, 1500, 1500, 1500]"
1653915416333320425,"[1500, 1500, 1500, 1498, 1568, 1500, 1500, 1500]"
1653915416366400727,"[1500, 1500, 1500, 1498, 1567, 1500, 1500, 1500]"
1653915416399505340,"[1500, 1500, 1500, 1498, 1567, 1500, 1500, 1500]"
1653915416433709727,"[1500, 1500, 1500, 1498, 1567, 1500, 1500, 1500]"
1653915416466197979,"[1500, 1500, 1500, 1498, 1567, 1500, 1500, 1500]"
1653915416496806489,"[1500, 1500, 1500, 1498, 1566, 1500, 1500, 1500]"
1653915416531660924,"[1500, 1500, 1500, 1498, 1566, 1500, 1500, 1500]"
1653915416564358662,"[1500, 1500, 1500, 1498, 1566, 1500, 1500, 1500]"
1653915416600020763,"[1500, 1500, 1500, 1498, 1566, 1500, 1500, 1500]"
1653915416629647989,"[1500, 1500, 1500, 1498, 1565, 1500, 1500, 1500]"
1653915416663442777,"[1500, 1500, 1500, 1498, 1565, 1500, 1500, 1500]"
1653915416697205923,"[1500, 1500, 1500, 1498, 1565, 1500, 1500, 1500]"
1653915416728411953,"[1500, 1500, 1500, 1498, 1564, 1500, 1500, 1500]"
1653915416763227246,"[1500, 1500, 1500, 1498, 1564, 1500, 1500, 1500]"
1653915416796275570,"[1500, 1500, 1500, 1497, 1564, 1500, 1500, 1500]"
1653915416829165317,"[1500, 1500, 1500, 1497, 1563, 1500, 1500, 1500]"
1653915416859577023,"[1500, 1500, 1500, 1497, 1563, 1500, 1500, 1500]"
1653915416897644516,"[1500, 1500, 1500, 1497, 1563, 1500, 1500, 1500]"
1653915416928745197,"[1500, 1500, 1500, 1497, 1562, 1500, 1500, 1500]"
1653915416962462846,"[1500, 1500, 1500, 1497, 1562, 1500, 1500, 1500]"
1653915416994293550,"[1500, 1500, 1500, 1497, 1562, 1500, 1500, 1500]"
1653915417027600575,"[1500, 1500, 1500, 1497, 1561, 1500, 1500, 1500]"
1653915417059343086,"[1500, 1500, 1500, 1497, 1561, 1500, 1500, 1500]"
1653915417093763298,"[1500, 1500, 1500, 1498, 1561, 1500, 1500, 1500]"
1653915417128115407,"[1500, 1500, 1500, 1498, 1560, 1500, 1500, 1500]"
1653915417158415852,"[1500, 1500, 1500, 1498, 1560, 1500, 1500, 1500]"
1653915417188867841,"[1500, 1500, 1500, 1498, 1560, 1500, 1500, 1500]"
1653915417227033278,"[1500, 1500, 1500, 1498, 1559, 1500, 1500, 1500]"
1653915417257395552,"[1500, 1500, 1500, 1498, 1559, 1500, 1500, 1500]"
1653915417288624162,"[1500, 1500, 1500, 1498, 1558, 1500, 1500, 1500]"
1653915417324362851,"[1500, 1500, 1500, 1498, 1558, 1500, 1500, 1500]"
1653915417358114716,"[1500, 1500, 1500, 1498, 1558, 1500, 1500, 1500]"
1653915417387681073,"[1500, 1500, 1500, 1498, 1557, 1500, 1500, 1500]"
1653915417421835412,"[1500, 1500, 1500, 1498, 1557, 1500, 1500, 1500]"
1653915417456184229,"[1500, 1500, 1500, 1498, 1556, 1500, 1500, 1500]"
1653915417487645726,"[1500, 1500, 1500, 1498, 1556, 1500, 1500, 1500]"
1653915417522004763,"[1500, 1500, 1500, 1498, 1555, 1500, 1500, 1500]"
1653915417556040858,"[1500, 1500, 1500, 1498, 1555, 1500, 1500, 1500]"
1653915417587973230,"[1500, 1500, 1500, 1498, 1555, 1500, 1500, 1500]"
1653915417618413074,"[1500, 1500, 1500, 1497, 1554, 1500, 1500, 1500]"
1653915417654065917,"[1500, 1500, 1500, 1497, 1554, 1500, 1500, 1500]"
1653915417686738347,"[1500, 1500, 1500, 1497, 1553, 1500, 1500, 1500]"
1653915417719653787,"[1500, 1500, 1500, 1497, 1553, 1500, 1500, 1500]"
1653915417754412619,"[1500, 1500, 1500, 1497, 1552, 1500, 1500, 1500]"
1653915417785878438,"[1500, 1500, 1500, 1498, 1552, 1500, 1500, 1500]"
1653915417819207657,"[1500, 1500, 1500, 1498, 1552, 1500, 1500, 1500]"
1653915417857232700,"[1500, 1500, 1500, 1498, 1551, 1500, 1500, 1500]"
1653915417885404003,"[1500, 1500, 1500, 1498, 1551, 1500, 1500, 1500]"
1653915417918390309,"[1500, 1500, 1500, 1498, 1550, 1500, 1500, 1500]"
1653915417949289717,"[1500, 1500, 1500, 1498, 1550, 1500, 1500, 1500]"
1653915417984730563,"[1500, 1500, 1500, 1498, 1549, 1500, 1500, 1500]"
1653915418018684821,"[1500, 1500, 1500, 1498, 1549, 1500, 1500, 1500]"
1653915418047215711,"[1500, 1500, 1500, 1499, 1549, 1500, 1500, 1500]"
1653915418085285769,"[1500, 1500, 1500, 1499, 1548, 1500, 1500, 1500]"
1653915418115068208,"[1500, 1500, 1500, 1499, 1548, 1500, 1500, 1500]"
1653915418147933737,"[1500, 1500, 1500, 1499, 1547, 1500, 1500, 1500]"
1653915418181694665,"[1500, 1500, 1500, 1499, 1547, 1500, 1500, 1500]"
1653915418215393327,"[1500, 1500, 1500, 1499, 1546, 1500, 1500, 1500]"
1653915418246493840,"[1500, 1500, 1500, 1499, 1546, 1500, 1500, 1500]"
1653915418277968882,"[1500, 1500, 1500, 1499, 1545, 1500, 1500, 1500]"
1653915418313688480,"[1500, 1500, 1500, 1499, 1545, 1500, 1500, 1500]"
1653915418346665758,"[1500, 1500, 1500, 1499, 1544, 1500, 1500, 1500]"
1653915418381839067,"[1500, 1500, 1500, 1499, 1544, 1500, 1500, 1500]"
1653915418413521466,"[1500, 1500, 1500, 1499, 1544, 1500, 1500, 1500]"
1653915418445027263,"[1500, 1500, 1500, 1499, 1543, 1500, 1500, 1500]"
1653915418479174588,"[1500, 1500, 1500, 1499, 1543, 1500, 1500, 1500]"
1653915418510787670,"[1500, 1500, 1500, 1499, 1542, 1500, 1500, 1500]"
1653915418553950614,"[1500, 1500, 1500, 1499, 1542, 1500, 1500, 1500]"
1653915418577105671,"[1500, 1500, 1500, 1499, 1541, 1500, 1500, 1500]"
1653915418607762289,"[1500, 1500, 1500, 1499, 1541, 1500, 1500, 1500]"
1653915418644191119,"[1500, 1500, 1500, 1499, 1540, 1500, 1500, 1500]"
1653915418678353017,"[1500, 1500, 1500, 1499, 1540, 1500, 1500, 1500]"
1653915418706084056,"[1500, 1500, 1500, 1499, 1540, 1500, 1500, 1500]"
1653915418742751826,"[1500, 1500, 1500, 1499, 1539, 1500, 1500, 1500]"
1653915418776771412,"[1500, 1500, 1500, 1499, 1539, 1500, 1500, 1500]"
