rosbagTimestamp,layout,dim,-,label,size,stride,data_offset,data
1653900364414185073,,,"""distance-confidence""",2,0,0,"[961.0, 100.0]"
1653900364491186378,,,"""distance-confidence""",2,0,0,"[961.0, 100.0]"
1653900364572524260,,,"""distance-confidence""",2,0,0,"[961.0, 100.0]"
1653900364652615597,,,"""distance-confidence""",2,0,0,"[963.0, 100.0]"
1653900364728066295,,,"""distance-confidence""",2,0,0,"[963.0, 100.0]"
1653900364811973830,,,"""distance-confidence""",2,0,0,"[963.0, 100.0]"
1653900364893810097,,,"""distance-confidence""",2,0,0,"[963.0, 100.0]"
1653900364971641593,,,"""distance-confidence""",2,0,0,"[965.0, 100.0]"
1653900365051104397,,,"""distance-confidence""",2,0,0,"[965.0, 100.0]"
1653900365129815843,,,"""distance-confidence""",2,0,0,"[965.0, 100.0]"
1653900365197657367,,,"""distance-confidence""",2,0,0,"[965.0, 100.0]"
1653900365309927834,,,"""distance-confidence""",2,0,0,"[967.0, 100.0]"
1653900365373723792,,,"""distance-confidence""",2,0,0,"[967.0, 100.0]"
1653900365467886508,,,"""distance-confidence""",2,0,0,"[967.0, 100.0]"
1653900365545297667,,,"""distance-confidence""",2,0,0,"[969.0, 100.0]"
1653900365628388193,,,"""distance-confidence""",2,0,0,"[969.0, 100.0]"
1653900365708684611,,,"""distance-confidence""",2,0,0,"[969.0, 100.0]"
1653900365787686251,,,"""distance-confidence""",2,0,0,"[971.0, 100.0]"
1653900365866707245,,,"""distance-confidence""",2,0,0,"[971.0, 100.0]"
1653900365950048836,,,"""distance-confidence""",2,0,0,"[971.0, 100.0]"
1653900366028481734,,,"""distance-confidence""",2,0,0,"[971.0, 100.0]"
1653900366124478072,,,"""distance-confidence""",2,0,0,"[973.0, 100.0]"
1653900366188219100,,,"""distance-confidence""",2,0,0,"[973.0, 100.0]"
1653900366285673715,,,"""distance-confidence""",2,0,0,"[973.0, 100.0]"
1653900366347832869,,,"""distance-confidence""",2,0,0,"[973.0, 100.0]"
1653900366443045741,,,"""distance-confidence""",2,0,0,"[975.0, 100.0]"
1653900366523482073,,,"""distance-confidence""",2,0,0,"[975.0, 100.0]"
1653900366606065576,,,"""distance-confidence""",2,0,0,"[975.0, 100.0]"
1653900366684168681,,,"""distance-confidence""",2,0,0,"[975.0, 100.0]"
1653900366763451555,,,"""distance-confidence""",2,0,0,"[977.0, 100.0]"
1653900366845528676,,,"""distance-confidence""",2,0,0,"[977.0, 100.0]"
1653900366926587528,,,"""distance-confidence""",2,0,0,"[977.0, 100.0]"
1653900367006344854,,,"""distance-confidence""",2,0,0,"[977.0, 100.0]"
1653900367084738644,,,"""distance-confidence""",2,0,0,"[979.0, 100.0]"
1653900367166614220,,,"""distance-confidence""",2,0,0,"[979.0, 100.0]"
1653900367245656213,,,"""distance-confidence""",2,0,0,"[979.0, 100.0]"
1653900367324755163,,,"""distance-confidence""",2,0,0,"[979.0, 100.0]"
1653900367422103909,,,"""distance-confidence""",2,0,0,"[981.0, 100.0]"
1653900367486389688,,,"""distance-confidence""",2,0,0,"[981.0, 100.0]"
1653900367580141676,,,"""distance-confidence""",2,0,0,"[981.0, 100.0]"
1653900367641970881,,,"""distance-confidence""",2,0,0,"[981.0, 100.0]"
