rosbagTimestamp,channels
1653900399732169510,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900399762244297,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900399797317555,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900399825675083,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900399863804599,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900399895176005,"[1500, 1500, 1500, 1501, 1500, 1500, 1500, 1500]"
1653900399926380705,"[1500, 1500, 1500, 1501, 1500, 1500, 1500, 1500]"
1653900399958750986,"[1500, 1500, 1500, 1501, 1500, 1500, 1500, 1500]"
1653900399993843894,"[1500, 1500, 1500, 1501, 1500, 1500, 1500, 1500]"
1653900400028575109,"[1500, 1500, 1500, 1501, 1500, 1500, 1500, 1500]"
1653900400061668365,"[1500, 1500, 1500, 1502, 1500, 1500, 1500, 1500]"
1653900400094768658,"[1500, 1500, 1500, 1502, 1500, 1500, 1500, 1500]"
1653900400125389992,"[1500, 1500, 1500, 1502, 1500, 1500, 1500, 1500]"
1653900400161238031,"[1500, 1500, 1500, 1502, 1500, 1500, 1500, 1500]"
1653900400193622896,"[1500, 1500, 1500, 1503, 1500, 1500, 1500, 1500]"
1653900400224000854,"[1500, 1500, 1500, 1503, 1500, 1500, 1500, 1500]"
1653900400256823393,"[1500, 1500, 1500, 1503, 1500, 1500, 1500, 1500]"
1653900400288612865,"[1500, 1500, 1500, 1503, 1500, 1500, 1500, 1500]"
1653900400324356203,"[1500, 1500, 1500, 1503, 1500, 1500, 1500, 1500]"
1653900400357199788,"[1500, 1500, 1500, 1504, 1500, 1500, 1500, 1500]"
1653900400390080396,"[1500, 1500, 1500, 1504, 1500, 1500, 1500, 1500]"
1653900400423291686,"[1500, 1500, 1500, 1504, 1500, 1500, 1500, 1500]"
1653900400458468890,"[1500, 1500, 1500, 1504, 1500, 1500, 1500, 1500]"
1653900400487377480,"[1500, 1500, 1500, 1504, 1500, 1500, 1500, 1500]"
1653900400523814215,"[1500, 1500, 1500, 1505, 1500, 1500, 1500, 1500]"
1653900400555897558,"[1500, 1500, 1500, 1505, 1500, 1500, 1500, 1500]"
1653900400586635507,"[1500, 1500, 1500, 1505, 1500, 1500, 1500, 1500]"
1653900400617566619,"[1500, 1500, 1500, 1505, 1500, 1500, 1500, 1500]"
1653900400654822189,"[1500, 1500, 1500, 1505, 1500, 1500, 1500, 1500]"
1653900400686673740,"[1500, 1500, 1500, 1506, 1500, 1500, 1500, 1500]"
1653900400721108028,"[1500, 1500, 1500, 1506, 1500, 1500, 1500, 1500]"
1653900400752979684,"[1500, 1500, 1500, 1506, 1500, 1500, 1500, 1500]"
1653900400786863540,"[1500, 1500, 1500, 1506, 1500, 1500, 1500, 1500]"
1653900400819000193,"[1500, 1500, 1500, 1506, 1500, 1500, 1500, 1500]"
1653900400852789033,"[1500, 1500, 1500, 1507, 1500, 1500, 1500, 1500]"
1653900400885463422,"[1500, 1500, 1500, 1507, 1500, 1500, 1500, 1500]"
1653900400916095331,"[1500, 1500, 1500, 1507, 1500, 1500, 1500, 1500]"
1653900400948132818,"[1500, 1500, 1500, 1507, 1500, 1500, 1500, 1500]"
1653900400983125062,"[1500, 1500, 1500, 1507, 1500, 1500, 1500, 1500]"
1653900401016590086,"[1500, 1500, 1500, 1507, 1500, 1500, 1500, 1500]"
1653900401048739803,"[1500, 1500, 1500, 1508, 1500, 1500, 1500, 1500]"
1653900401081106618,"[1500, 1500, 1500, 1508, 1500, 1500, 1500, 1500]"
1653900401115968687,"[1500, 1500, 1500, 1508, 1500, 1500, 1500, 1500]"
1653900401146319154,"[1500, 1500, 1500, 1508, 1500, 1500, 1500, 1500]"
1653900401182494347,"[1500, 1500, 1500, 1508, 1500, 1500, 1500, 1500]"
1653900401215684369,"[1500, 1500, 1500, 1509, 1500, 1500, 1500, 1500]"
1653900401246528193,"[1500, 1500, 1500, 1509, 1500, 1500, 1500, 1500]"
1653900401277642875,"[1500, 1500, 1500, 1509, 1500, 1500, 1500, 1500]"
1653900401315843705,"[1500, 1500, 1500, 1509, 1500, 1500, 1500, 1500]"
1653900401348308435,"[1500, 1500, 1500, 1509, 1500, 1500, 1500, 1500]"
1653900401382131728,"[1500, 1500, 1500, 1510, 1500, 1500, 1500, 1500]"
1653900401412556381,"[1500, 1500, 1500, 1510, 1500, 1500, 1500, 1500]"
1653900401445251704,"[1500, 1500, 1500, 1510, 1500, 1500, 1500, 1500]"
1653900401481437979,"[1500, 1500, 1500, 1510, 1500, 1500, 1500, 1500]"
1653900401513859554,"[1500, 1500, 1500, 1510, 1500, 1500, 1500, 1500]"
1653900401544717266,"[1500, 1500, 1500, 1510, 1500, 1500, 1500, 1500]"
1653900401575064043,"[1500, 1500, 1500, 1511, 1500, 1500, 1500, 1500]"
1653900401611509507,"[1500, 1500, 1500, 1511, 1500, 1500, 1500, 1500]"
1653900401644516332,"[1500, 1500, 1500, 1511, 1500, 1500, 1500, 1500]"
1653900401675500651,"[1500, 1500, 1500, 1511, 1500, 1500, 1500, 1500]"
1653900401711329119,"[1500, 1500, 1500, 1511, 1500, 1500, 1500, 1500]"
1653900401743808481,"[1500, 1500, 1500, 1511, 1500, 1500, 1500, 1500]"
1653900401775477557,"[1500, 1500, 1500, 1512, 1500, 1500, 1500, 1500]"
1653900401804356542,"[1500, 1500, 1500, 1512, 1500, 1500, 1500, 1500]"
1653900401844618224,"[1500, 1500, 1500, 1512, 1500, 1500, 1500, 1500]"
1653900401875170321,"[1500, 1500, 1500, 1512, 1500, 1500, 1500, 1500]"
1653900401906300510,"[1500, 1500, 1500, 1512, 1500, 1500, 1500, 1500]"
1653900401940898018,"[1500, 1500, 1500, 1512, 1500, 1500, 1500, 1500]"
1653900401975607796,"[1500, 1500, 1500, 1513, 1500, 1500, 1500, 1500]"
1653900402008621080,"[1500, 1500, 1500, 1513, 1500, 1500, 1500, 1500]"
1653900402040274088,"[1500, 1500, 1500, 1513, 1500, 1500, 1500, 1500]"
1653900402072646122,"[1500, 1500, 1500, 1513, 1500, 1500, 1500, 1500]"
1653900402105575932,"[1500, 1500, 1500, 1513, 1500, 1500, 1500, 1500]"
1653900402138927984,"[1500, 1500, 1500, 1514, 1500, 1500, 1500, 1500]"
1653900402172559096,"[1500, 1500, 1500, 1514, 1500, 1500, 1500, 1500]"
