rosbagTimestamp,channels
1653911528955405882,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653911529206256476,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653911536324427788,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653911536665277177,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653911551367635841,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653911551404369853,"[1500, 1500, 1500, 1500, 1536, 1500, 1500, 1500]"
1653911551434959483,"[1500, 1500, 1500, 1500, 1537, 1500, 1500, 1500]"
1653911551466038943,"[1500, 1500, 1500, 1500, 1538, 1500, 1500, 1500]"
1653911551500031329,"[1500, 1500, 1500, 1501, 1538, 1500, 1500, 1500]"
1653911551533716723,"[1500, 1500, 1500, 1501, 1539, 1500, 1500, 1500]"
1653911551565877562,"[1500, 1500, 1500, 1501, 1540, 1500, 1500, 1500]"
1653911551599989610,"[1500, 1500, 1500, 1501, 1540, 1500, 1500, 1500]"
1653911551631677634,"[1500, 1500, 1500, 1502, 1541, 1500, 1500, 1500]"
1653911551664766301,"[1500, 1500, 1500, 1502, 1542, 1500, 1500, 1500]"
1653911551698135108,"[1500, 1500, 1500, 1502, 1542, 1500, 1500, 1500]"
1653911551729856537,"[1500, 1500, 1500, 1502, 1543, 1500, 1500, 1500]"
1653911551765114863,"[1500, 1500, 1500, 1502, 1544, 1500, 1500, 1500]"
1653911551796678050,"[1500, 1500, 1500, 1502, 1544, 1500, 1500, 1500]"
1653911551829765167,"[1500, 1500, 1500, 1502, 1545, 1500, 1500, 1500]"
1653911551861370331,"[1500, 1500, 1500, 1501, 1545, 1500, 1500, 1500]"
1653911551897555136,"[1500, 1500, 1500, 1501, 1546, 1500, 1500, 1500]"
1653911551928823351,"[1500, 1500, 1500, 1501, 1547, 1500, 1500, 1500]"
1653911551963964837,"[1500, 1500, 1500, 1500, 1547, 1500, 1500, 1500]"
1653911551998052217,"[1500, 1500, 1500, 1500, 1548, 1500, 1500, 1500]"
1653911552028430674,"[1500, 1500, 1500, 1500, 1548, 1500, 1500, 1500]"
1653911552063407498,"[1500, 1500, 1500, 1499, 1549, 1500, 1500, 1500]"
1653911552096443000,"[1500, 1500, 1500, 1499, 1549, 1500, 1500, 1500]"
1653911552127449041,"[1500, 1500, 1500, 1499, 1550, 1500, 1500, 1500]"
1653911552162417904,"[1500, 1500, 1500, 1498, 1551, 1500, 1500, 1500]"
1653911552192458497,"[1500, 1500, 1500, 1498, 1551, 1500, 1500, 1500]"
1653911552228622783,"[1500, 1500, 1500, 1498, 1552, 1500, 1500, 1500]"
1653911552258666260,"[1500, 1500, 1500, 1498, 1552, 1500, 1500, 1500]"
1653911552293812086,"[1500, 1500, 1500, 1498, 1553, 1500, 1500, 1500]"
1653911552325570378,"[1500, 1500, 1500, 1498, 1553, 1500, 1500, 1500]"
1653911552361226100,"[1500, 1500, 1500, 1498, 1553, 1500, 1500, 1500]"
1653911552388867753,"[1500, 1500, 1500, 1498, 1554, 1500, 1500, 1500]"
1653911552426754337,"[1500, 1500, 1500, 1498, 1554, 1500, 1500, 1500]"
1653911552457266213,"[1500, 1500, 1500, 1499, 1555, 1500, 1500, 1500]"
1653911552489630159,"[1500, 1500, 1500, 1499, 1555, 1500, 1500, 1500]"
1653911552524229064,"[1500, 1500, 1500, 1499, 1556, 1500, 1500, 1500]"
1653911552557374263,"[1500, 1500, 1500, 1499, 1556, 1500, 1500, 1500]"
1653911552587455867,"[1500, 1500, 1500, 1499, 1556, 1500, 1500, 1500]"
1653911552625985616,"[1500, 1500, 1500, 1500, 1557, 1500, 1500, 1500]"
1653911552656821741,"[1500, 1500, 1500, 1500, 1557, 1500, 1500, 1500]"
1653911552688746440,"[1500, 1500, 1500, 1500, 1558, 1500, 1500, 1500]"
