rosbagTimestamp,layout,dim,-,label,size,stride,data_offset,data
1653925094290535999,,,"""distance-confidence""",2,0,0,"[509.0, 100.0]"
1653925094372069628,,,"""distance-confidence""",2,0,0,"[525.0, 100.0]"
1653925094454963824,,,"""distance-confidence""",2,0,0,"[525.0, 100.0]"
1653925094528276273,,,"""distance-confidence""",2,0,0,"[525.0, 100.0]"
1653925094609365058,,,"""distance-confidence""",2,0,0,"[525.0, 100.0]"
1653925094689370872,,,"""distance-confidence""",2,0,0,"[544.0, 100.0]"
1653925094770917642,,,"""distance-confidence""",2,0,0,"[544.0, 100.0]"
1653925094847716351,,,"""distance-confidence""",2,0,0,"[544.0, 100.0]"
1653925094929952686,,,"""distance-confidence""",2,0,0,"[544.0, 100.0]"
1653925095025716738,,,"""distance-confidence""",2,0,0,"[564.0, 100.0]"
1653925095091601482,,,"""distance-confidence""",2,0,0,"[564.0, 100.0]"
1653925095184501631,,,"""distance-confidence""",2,0,0,"[564.0, 100.0]"
1653925095252664183,,,"""distance-confidence""",2,0,0,"[564.0, 100.0]"
1653925095348528323,,,"""distance-confidence""",2,0,0,"[579.0, 100.0]"
1653925095424105741,,,"""distance-confidence""",2,0,0,"[579.0, 100.0]"
1653925095507333824,,,"""distance-confidence""",2,0,0,"[579.0, 100.0]"
1653925095585158678,,,"""distance-confidence""",2,0,0,"[579.0, 100.0]"
1653925095665050356,,,"""distance-confidence""",2,0,0,"[600.0, 99.0]"
1653925095745905682,,,"""distance-confidence""",2,0,0,"[600.0, 99.0]"
1653925095828359216,,,"""distance-confidence""",2,0,0,"[600.0, 99.0]"
1653925095908636176,,,"""distance-confidence""",2,0,0,"[600.0, 99.0]"
1653925095985210545,,,"""distance-confidence""",2,0,0,"[616.0, 99.0]"
1653925096065602334,,,"""distance-confidence""",2,0,0,"[616.0, 99.0]"
1653925096147799149,,,"""distance-confidence""",2,0,0,"[616.0, 99.0]"
1653925096227181583,,,"""distance-confidence""",2,0,0,"[616.0, 99.0]"
1653925096326640839,,,"""distance-confidence""",2,0,0,"[625.0, 99.0]"
1653925096434862153,,,"""distance-confidence""",2,0,0,"[625.0, 99.0]"
1653925096512399429,,,"""distance-confidence""",2,0,0,"[625.0, 99.0]"
1653925096608698556,,,"""distance-confidence""",2,0,0,"[633.0, 97.0]"
1653925096671660384,,,"""distance-confidence""",2,0,0,"[633.0, 97.0]"
1653925096770041070,,,"""distance-confidence""",2,0,0,"[633.0, 97.0]"
1653925096834262606,,,"""distance-confidence""",2,0,0,"[633.0, 97.0]"
1653925096928167318,,,"""distance-confidence""",2,0,0,"[650.0, 93.0]"
1653925096995590159,,,"""distance-confidence""",2,0,0,"[650.0, 93.0]"
1653925097092418676,,,"""distance-confidence""",2,0,0,"[650.0, 93.0]"
1653925097155742211,,,"""distance-confidence""",2,0,0,"[650.0, 93.0]"
1653925097251487937,,,"""distance-confidence""",2,0,0,"[665.0, 93.0]"
1653925097330986111,,,"""distance-confidence""",2,0,0,"[665.0, 93.0]"
1653925097411940161,,,"""distance-confidence""",2,0,0,"[665.0, 93.0]"
1653925097473963046,,,"""distance-confidence""",2,0,0,"[665.0, 93.0]"
