rosbagTimestamp,channels
1653996698858569960,"[1500, 1500, 1500, 1492, 1500, 1500, 1500, 1500]"
1653996698886077840,"[1500, 1500, 1500, 1492, 1500, 1500, 1500, 1500]"
1653996698917891348,"[1500, 1500, 1500, 1491, 1500, 1500, 1500, 1500]"
1653996698952332644,"[1500, 1500, 1500, 1491, 1500, 1500, 1500, 1500]"
1653996698988755523,"[1500, 1500, 1500, 1491, 1500, 1500, 1500, 1500]"
1653996699017953011,"[1500, 1500, 1500, 1491, 1500, 1500, 1500, 1500]"
1653996699048536391,"[1500, 1500, 1500, 1490, 1500, 1500, 1500, 1500]"
1653996699084818643,"[1500, 1500, 1500, 1490, 1500, 1500, 1500, 1500]"
1653996699115729714,"[1500, 1500, 1500, 1490, 1500, 1500, 1500, 1500]"
1653996699151794262,"[1500, 1500, 1500, 1489, 1500, 1500, 1500, 1500]"
1653996699184179151,"[1500, 1500, 1500, 1489, 1500, 1500, 1500, 1500]"
1653996699215995961,"[1500, 1500, 1500, 1489, 1500, 1500, 1500, 1500]"
1653996699248621480,"[1500, 1500, 1500, 1488, 1500, 1500, 1500, 1500]"
1653996699281253792,"[1500, 1500, 1500, 1488, 1500, 1500, 1500, 1500]"
1653996699315754586,"[1500, 1500, 1500, 1488, 1500, 1500, 1500, 1500]"
1653996699348064966,"[1500, 1500, 1500, 1488, 1500, 1500, 1500, 1500]"
1653996699379375838,"[1500, 1500, 1500, 1487, 1500, 1500, 1500, 1500]"
1653996699411763457,"[1500, 1500, 1500, 1487, 1500, 1500, 1500, 1500]"
1653996699446748617,"[1500, 1500, 1500, 1487, 1500, 1500, 1500, 1500]"
1653996699476559139,"[1500, 1500, 1500, 1486, 1500, 1500, 1500, 1500]"
1653996699513793042,"[1500, 1500, 1500, 1486, 1500, 1500, 1500, 1500]"
1653996699545510220,"[1500, 1500, 1500, 1486, 1500, 1500, 1500, 1500]"
1653996699576466813,"[1500, 1500, 1500, 1485, 1500, 1500, 1500, 1500]"
1653996699612718683,"[1500, 1500, 1500, 1485, 1500, 1500, 1500, 1500]"
1653996699645833619,"[1500, 1500, 1500, 1485, 1500, 1500, 1500, 1500]"
1653996699680315260,"[1500, 1500, 1500, 1484, 1500, 1500, 1500, 1500]"
1653996699710770178,"[1500, 1500, 1500, 1484, 1500, 1500, 1500, 1500]"
1653996699745258800,"[1500, 1500, 1500, 1484, 1500, 1500, 1500, 1500]"
1653996699776347747,"[1500, 1500, 1500, 1483, 1500, 1500, 1500, 1500]"
1653996699808787883,"[1500, 1500, 1500, 1483, 1500, 1500, 1500, 1500]"
1653996699844345234,"[1500, 1500, 1500, 1483, 1500, 1500, 1500, 1500]"
1653996699873882790,"[1500, 1500, 1500, 1482, 1500, 1500, 1500, 1500]"
1653996699911393169,"[1500, 1500, 1500, 1482, 1500, 1500, 1500, 1500]"
1653996699938429038,"[1500, 1500, 1500, 1482, 1500, 1500, 1500, 1500]"
1653996699975539743,"[1500, 1500, 1500, 1481, 1500, 1500, 1500, 1500]"
1653996700008036820,"[1500, 1500, 1500, 1481, 1500, 1500, 1500, 1500]"
1653996700040676640,"[1500, 1500, 1500, 1481, 1500, 1500, 1500, 1500]"
