rosbagTimestamp,layout,dim,-,label,size,stride,data_offset,data
1653996765587452509,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996765666708120,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996765746003603,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996765829057646,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996765904801621,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996765984342550,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996766063640757,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996766155077179,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996766243008928,,,"""distance-confidence""",2,0,0,"[977.0, 100.0]"
1653996766305981809,,,"""distance-confidence""",2,0,0,"[977.0, 100.0]"
1653996766388108839,,,"""distance-confidence""",2,0,0,"[977.0, 100.0]"
1653996766467428981,,,"""distance-confidence""",2,0,0,"[977.0, 100.0]"
1653996766560912368,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996766628149788,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996766727047608,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996766789525446,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653996766881960775,,,"""distance-confidence""",2,0,0,"[984.0, 100.0]"
1653996766965910040,,,"""distance-confidence""",2,0,0,"[984.0, 100.0]"
1653996767042483625,,,"""distance-confidence""",2,0,0,"[984.0, 100.0]"
1653996767122719578,,,"""distance-confidence""",2,0,0,"[984.0, 100.0]"
1653996767211374967,,,"""distance-confidence""",2,0,0,"[988.0, 100.0]"
1653996767285222399,,,"""distance-confidence""",2,0,0,"[988.0, 100.0]"
1653996767365348530,,,"""distance-confidence""",2,0,0,"[988.0, 100.0]"
1653996767445988273,,,"""distance-confidence""",2,0,0,"[988.0, 100.0]"
1653996767542767726,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996767606467000,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996767695871685,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996767761694081,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996767859776714,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996767939980620,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996768017170767,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996768101600593,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996768180051889,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996768259075026,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996768340867564,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996768420346833,,,"""distance-confidence""",2,0,0,"[994.0, 100.0]"
1653996768502474156,,,"""distance-confidence""",2,0,0,"[996.0, 100.0]"
1653996768580027732,,,"""distance-confidence""",2,0,0,"[996.0, 100.0]"
1653996768662015376,,,"""distance-confidence""",2,0,0,"[996.0, 100.0]"
1653996768741260726,,,"""distance-confidence""",2,0,0,"[996.0, 100.0]"
1653996768834202843,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996768903284979,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996768998582211,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769058712908,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769156911999,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769239102042,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769316267056,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769398541907,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769474491418,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769559083102,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769637610567,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769713939692,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769811655343,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769879103207,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996769974186723,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996770037793089,,,"""distance-confidence""",2,0,0,"[997.0, 100.0]"
1653996770129593334,,,"""distance-confidence""",2,0,0,"[1003.0, 100.0]"
1653996770214727824,,,"""distance-confidence""",2,0,0,"[1003.0, 100.0]"
1653996770295313240,,,"""distance-confidence""",2,0,0,"[1003.0, 100.0]"
1653996770372562175,,,"""distance-confidence""",2,0,0,"[1003.0, 100.0]"
1653996770453746639,,,"""distance-confidence""",2,0,0,"[1004.0, 100.0]"
1653996770531002293,,,"""distance-confidence""",2,0,0,"[1004.0, 100.0]"
1653996770615052024,,,"""distance-confidence""",2,0,0,"[1004.0, 100.0]"
1653996770693425141,,,"""distance-confidence""",2,0,0,"[1004.0, 100.0]"
1653996770771167563,,,"""distance-confidence""",2,0,0,"[1006.0, 100.0]"
1653996770854276963,,,"""distance-confidence""",2,0,0,"[1006.0, 100.0]"
1653996770950067689,,,"""distance-confidence""",2,0,0,"[1006.0, 100.0]"
1653996771012267095,,,"""distance-confidence""",2,0,0,"[1006.0, 100.0]"
1653996771111316918,,,"""distance-confidence""",2,0,0,"[1007.0, 100.0]"
1653996771174338088,,,"""distance-confidence""",2,0,0,"[1007.0, 100.0]"
1653996771268871456,,,"""distance-confidence""",2,0,0,"[1007.0, 100.0]"
1653996771332321673,,,"""distance-confidence""",2,0,0,"[1007.0, 100.0]"
1653996771428989767,,,"""distance-confidence""",2,0,0,"[1008.0, 100.0]"
1653996771511175551,,,"""distance-confidence""",2,0,0,"[1008.0, 100.0]"
1653996771589470864,,,"""distance-confidence""",2,0,0,"[1008.0, 100.0]"
1653996771669785141,,,"""distance-confidence""",2,0,0,"[1008.0, 100.0]"
1653996771748449231,,,"""distance-confidence""",2,0,0,"[1009.0, 100.0]"
1653996771829084246,,,"""distance-confidence""",2,0,0,"[1009.0, 100.0]"
1653996771907797296,,,"""distance-confidence""",2,0,0,"[1009.0, 100.0]"
1653996771986503411,,,"""distance-confidence""",2,0,0,"[1009.0, 100.0]"
1653996772084691854,,,"""distance-confidence""",2,0,0,"[1011.0, 100.0]"
1653996772149780766,,,"""distance-confidence""",2,0,0,"[1011.0, 100.0]"
1653996772244362648,,,"""distance-confidence""",2,0,0,"[1011.0, 100.0]"
1653996772307907812,,,"""distance-confidence""",2,0,0,"[1011.0, 100.0]"
1653996772405294224,,,"""distance-confidence""",2,0,0,"[1012.0, 100.0]"
1653996772467921046,,,"""distance-confidence""",2,0,0,"[1012.0, 100.0]"
1653996772563382350,,,"""distance-confidence""",2,0,0,"[1012.0, 100.0]"
1653996772630999347,,,"""distance-confidence""",2,0,0,"[1012.0, 100.0]"
1653996772727892359,,,"""distance-confidence""",2,0,0,"[1016.0, 100.0]"
1653996772791277323,,,"""distance-confidence""",2,0,0,"[1016.0, 100.0]"
1653996772886862939,,,"""distance-confidence""",2,0,0,"[1016.0, 100.0]"
1653996772950686246,,,"""distance-confidence""",2,0,0,"[1016.0, 100.0]"
1653996773047268238,,,"""distance-confidence""",2,0,0,"[1020.0, 100.0]"
1653996773127160524,,,"""distance-confidence""",2,0,0,"[1020.0, 100.0]"
1653996773208954107,,,"""distance-confidence""",2,0,0,"[1020.0, 100.0]"
1653996773285762049,,,"""distance-confidence""",2,0,0,"[1020.0, 100.0]"
1653996773367841942,,,"""distance-confidence""",2,0,0,"[1022.0, 100.0]"
1653996773445803467,,,"""distance-confidence""",2,0,0,"[1022.0, 100.0]"
1653996773527792980,,,"""distance-confidence""",2,0,0,"[1022.0, 100.0]"
1653996773608284241,,,"""distance-confidence""",2,0,0,"[1022.0, 100.0]"
1653996773704094094,,,"""distance-confidence""",2,0,0,"[1024.0, 100.0]"
1653996773769138256,,,"""distance-confidence""",2,0,0,"[1024.0, 100.0]"
1653996773865533808,,,"""distance-confidence""",2,0,0,"[1024.0, 100.0]"
1653996773928769992,,,"""distance-confidence""",2,0,0,"[1024.0, 100.0]"
1653996774024127040,,,"""distance-confidence""",2,0,0,"[1024.0, 100.0]"
1653996774099283262,,,"""distance-confidence""",2,0,0,"[1024.0, 100.0]"
1653996774181947718,,,"""distance-confidence""",2,0,0,"[1024.0, 100.0]"
1653996774261229270,,,"""distance-confidence""",2,0,0,"[1024.0, 100.0]"
1653996774340416360,,,"""distance-confidence""",2,0,0,"[1023.0, 100.0]"
1653996774425598637,,,"""distance-confidence""",2,0,0,"[1023.0, 100.0]"
1653996774504173546,,,"""distance-confidence""",2,0,0,"[1023.0, 100.0]"
1653996774582315611,,,"""distance-confidence""",2,0,0,"[1023.0, 100.0]"
1653996774677573285,,,"""distance-confidence""",2,0,0,"[1025.0, 100.0]"
1653996774743411199,,,"""distance-confidence""",2,0,0,"[1025.0, 100.0]"
1653996774838629516,,,"""distance-confidence""",2,0,0,"[1025.0, 100.0]"
