rosbagTimestamp,channels
1653996887101591584,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653996887402662709,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653996888624505412,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653996888651261991,"[1500, 1500, 1500, 1499, 1536, 1500, 1500, 1500]"
1653996888713129539,"[1500, 1500, 1500, 1499, 1537, 1500, 1500, 1500]"
1653996888722716975,"[1500, 1500, 1500, 1499, 1538, 1500, 1500, 1500]"
1653996888753311088,"[1500, 1500, 1500, 1499, 1538, 1500, 1500, 1500]"
1653996888789223610,"[1500, 1500, 1500, 1499, 1539, 1500, 1500, 1500]"
1653996888823750147,"[1500, 1500, 1500, 1498, 1540, 1500, 1500, 1500]"
1653996888851704020,"[1500, 1500, 1500, 1498, 1540, 1500, 1500, 1500]"
1653996888887535123,"[1500, 1500, 1500, 1498, 1541, 1500, 1500, 1500]"
1653996888923159851,"[1500, 1500, 1500, 1498, 1542, 1500, 1500, 1500]"
1653996888954542547,"[1500, 1500, 1500, 1497, 1543, 1500, 1500, 1500]"
1653996888984191706,"[1500, 1500, 1500, 1497, 1543, 1500, 1500, 1500]"
1653996889022653864,"[1500, 1500, 1500, 1496, 1544, 1500, 1500, 1500]"
1653996889052049738,"[1500, 1500, 1500, 1496, 1544, 1500, 1500, 1500]"
1653996889083456662,"[1500, 1500, 1500, 1496, 1545, 1500, 1500, 1500]"
1653996889122212707,"[1500, 1500, 1500, 1496, 1546, 1500, 1500, 1500]"
1653996889152081044,"[1500, 1500, 1500, 1496, 1546, 1500, 1500, 1500]"
1653996889183114771,"[1500, 1500, 1500, 1496, 1547, 1500, 1500, 1500]"
1653996889216233797,"[1500, 1500, 1500, 1497, 1548, 1500, 1500, 1500]"
1653996889249711088,"[1500, 1500, 1500, 1497, 1548, 1500, 1500, 1500]"
1653996889285258903,"[1500, 1500, 1500, 1497, 1549, 1500, 1500, 1500]"
1653996889312892405,"[1500, 1500, 1500, 1498, 1549, 1500, 1500, 1500]"
1653996889350628992,"[1500, 1500, 1500, 1498, 1550, 1500, 1500, 1500]"
1653996889382541254,"[1500, 1500, 1500, 1499, 1551, 1500, 1500, 1500]"
1653996889413721399,"[1500, 1500, 1500, 1500, 1551, 1500, 1500, 1500]"
1653996889445079218,"[1500, 1500, 1500, 1500, 1552, 1500, 1500, 1500]"
1653996889483746552,"[1500, 1500, 1500, 1500, 1552, 1500, 1500, 1500]"
1653996889521488675,"[1500, 1500, 1500, 1501, 1553, 1500, 1500, 1500]"
1653996889544325985,"[1500, 1500, 1500, 1501, 1553, 1500, 1500, 1500]"
1653996889578262769,"[1500, 1500, 1500, 1501, 1554, 1500, 1500, 1500]"
1653996889613127286,"[1500, 1500, 1500, 1501, 1555, 1500, 1500, 1500]"
1653996889647485824,"[1500, 1500, 1500, 1502, 1555, 1500, 1500, 1500]"
1653996889681179131,"[1500, 1500, 1500, 1502, 1556, 1500, 1500, 1500]"
1653996889710798879,"[1500, 1500, 1500, 1501, 1556, 1500, 1500, 1500]"
1653996889743650335,"[1500, 1500, 1500, 1501, 1557, 1500, 1500, 1500]"
1653996889778687954,"[1500, 1500, 1500, 1501, 1557, 1500, 1500, 1500]"
1653996889811351625,"[1500, 1500, 1500, 1501, 1558, 1500, 1500, 1500]"
1653996889843401083,"[1500, 1500, 1500, 1501, 1558, 1500, 1500, 1500]"
1653996889878020521,"[1500, 1500, 1500, 1500, 1559, 1500, 1500, 1500]"
1653996889911134102,"[1500, 1500, 1500, 1500, 1559, 1500, 1500, 1500]"
1653996889944314675,"[1500, 1500, 1500, 1500, 1560, 1500, 1500, 1500]"
1653996889975794429,"[1500, 1500, 1500, 1499, 1560, 1500, 1500, 1500]"
1653996890009884636,"[1500, 1500, 1500, 1499, 1560, 1500, 1500, 1500]"
1653996890044519783,"[1500, 1500, 1500, 1499, 1561, 1500, 1500, 1500]"
1653996890077573095,"[1500, 1500, 1500, 1499, 1561, 1500, 1500, 1500]"
1653996890108038257,"[1500, 1500, 1500, 1498, 1562, 1500, 1500, 1500]"
1653996890142480259,"[1500, 1500, 1500, 1498, 1562, 1500, 1500, 1500]"
1653996890174855291,"[1500, 1500, 1500, 1498, 1562, 1500, 1500, 1500]"
1653996890203877202,"[1500, 1500, 1500, 1498, 1563, 1500, 1500, 1500]"
1653996890242246899,"[1500, 1500, 1500, 1498, 1563, 1500, 1500, 1500]"
1653996890274520416,"[1500, 1500, 1500, 1499, 1564, 1500, 1500, 1500]"
1653996890307676901,"[1500, 1500, 1500, 1499, 1564, 1500, 1500, 1500]"
1653996890339023567,"[1500, 1500, 1500, 1499, 1564, 1500, 1500, 1500]"
1653996890373965338,"[1500, 1500, 1500, 1499, 1565, 1500, 1500, 1500]"
1653996890404697876,"[1500, 1500, 1500, 1499, 1565, 1500, 1500, 1500]"
1653996890440015334,"[1500, 1500, 1500, 1499, 1565, 1500, 1500, 1500]"
1653996890472555458,"[1500, 1500, 1500, 1499, 1566, 1500, 1500, 1500]"
1653996890504861138,"[1500, 1500, 1500, 1499, 1566, 1500, 1500, 1500]"
1653996890537926705,"[1500, 1500, 1500, 1499, 1566, 1500, 1500, 1500]"
1653996890572394561,"[1500, 1500, 1500, 1499, 1567, 1500, 1500, 1500]"
1653996890603039087,"[1500, 1500, 1500, 1499, 1567, 1500, 1500, 1500]"
1653996890632989127,"[1500, 1500, 1500, 1499, 1567, 1500, 1500, 1500]"
1653996890672414888,"[1500, 1500, 1500, 1499, 1568, 1500, 1500, 1500]"
1653996890703220134,"[1500, 1500, 1500, 1499, 1568, 1500, 1500, 1500]"
1653996890732331051,"[1500, 1500, 1500, 1499, 1568, 1500, 1500, 1500]"
1653996890769987885,"[1500, 1500, 1500, 1499, 1568, 1500, 1500, 1500]"
1653996890802386523,"[1500, 1500, 1500, 1499, 1569, 1500, 1500, 1500]"
1653996890832837355,"[1500, 1500, 1500, 1499, 1569, 1500, 1500, 1500]"
1653996890865721497,"[1500, 1500, 1500, 1499, 1569, 1500, 1500, 1500]"
1653996890900011173,"[1500, 1500, 1500, 1499, 1569, 1500, 1500, 1500]"
1653996890932139785,"[1500, 1500, 1500, 1498, 1569, 1500, 1500, 1500]"
1653996890962407763,"[1500, 1500, 1500, 1498, 1570, 1500, 1500, 1500]"
1653996891002226189,"[1500, 1500, 1500, 1498, 1570, 1500, 1500, 1500]"
1653996891032914268,"[1500, 1500, 1500, 1498, 1570, 1500, 1500, 1500]"
1653996891064963517,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653996891095466282,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653996891132577383,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653996891164852543,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653996891198292960,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653996891229775691,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653996891265743235,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653996891293757055,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653996891330548491,"[1500, 1500, 1500, 1496, 1571, 1500, 1500, 1500]"
1653996891362671588,"[1500, 1500, 1500, 1496, 1571, 1500, 1500, 1500]"
1653996891393511247,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891425072601,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891462872184,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891493010502,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891527571747,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891558921314,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891593145082,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891625547813,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891659364733,"[1500, 1500, 1500, 1496, 1572, 1500, 1500, 1500]"
1653996891690859491,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653996891723104885,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653996891755623642,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653996891790961389,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653996891823624678,"[1500, 1500, 1500, 1497, 1572, 1500, 1500, 1500]"
1653996891856077317,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996891890817347,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996891925301258,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996891960101553,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996891992971300,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996892022056609,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996892055234356,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996892091133985,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996892122575180,"[1500, 1500, 1500, 1498, 1572, 1500, 1500, 1500]"
1653996892153222989,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653996892186098247,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653996892220984867,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653996892251240660,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653996892288749500,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653996892320339611,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653996892350727117,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653996892382722332,"[1500, 1500, 1500, 1498, 1571, 1500, 1500, 1500]"
1653996892419022044,"[1500, 1500, 1500, 1497, 1571, 1500, 1500, 1500]"
1653996892452107211,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653996892483666726,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653996892514549905,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653996892549700542,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653996892582619825,"[1500, 1500, 1500, 1497, 1570, 1500, 1500, 1500]"
1653996892612509603,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653996892650321182,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653996892684565486,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653996892716565047,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653996892745142853,"[1500, 1500, 1500, 1497, 1569, 1500, 1500, 1500]"
1653996892783740118,"[1500, 1500, 1500, 1498, 1568, 1500, 1500, 1500]"
1653996892811573336,"[1500, 1500, 1500, 1498, 1568, 1500, 1500, 1500]"
1653996892844388146,"[1500, 1500, 1500, 1498, 1568, 1500, 1500, 1500]"
1653996892878617264,"[1500, 1500, 1500, 1498, 1568, 1500, 1500, 1500]"
1653996892911613077,"[1500, 1500, 1500, 1498, 1567, 1500, 1500, 1500]"
1653996892946561996,"[1500, 1500, 1500, 1498, 1567, 1500, 1500, 1500]"
1653996892979498034,"[1500, 1500, 1500, 1498, 1567, 1500, 1500, 1500]"
1653996893011760334,"[1500, 1500, 1500, 1498, 1567, 1500, 1500, 1500]"
1653996893042952507,"[1500, 1500, 1500, 1498, 1566, 1500, 1500, 1500]"
1653996893078153233,"[1500, 1500, 1500, 1498, 1566, 1500, 1500, 1500]"
1653996893110928060,"[1500, 1500, 1500, 1498, 1566, 1500, 1500, 1500]"
1653996893146995719,"[1500, 1500, 1500, 1498, 1566, 1500, 1500, 1500]"
1653996893176948859,"[1500, 1500, 1500, 1498, 1565, 1500, 1500, 1500]"
1653996893209567708,"[1500, 1500, 1500, 1498, 1565, 1500, 1500, 1500]"
1653996893244060162,"[1500, 1500, 1500, 1498, 1565, 1500, 1500, 1500]"
1653996893274552129,"[1500, 1500, 1500, 1498, 1564, 1500, 1500, 1500]"
1653996893309182611,"[1500, 1500, 1500, 1498, 1564, 1500, 1500, 1500]"
1653996893341655606,"[1500, 1500, 1500, 1497, 1564, 1500, 1500, 1500]"
1653996893377729054,"[1500, 1500, 1500, 1497, 1563, 1500, 1500, 1500]"
1653996893406829536,"[1500, 1500, 1500, 1497, 1563, 1500, 1500, 1500]"
1653996893444244193,"[1500, 1500, 1500, 1497, 1563, 1500, 1500, 1500]"
1653996893474746094,"[1500, 1500, 1500, 1497, 1562, 1500, 1500, 1500]"
1653996893507920365,"[1500, 1500, 1500, 1497, 1562, 1500, 1500, 1500]"
1653996893539973992,"[1500, 1500, 1500, 1497, 1562, 1500, 1500, 1500]"
1653996893573338942,"[1500, 1500, 1500, 1497, 1561, 1500, 1500, 1500]"
1653996893605310139,"[1500, 1500, 1500, 1497, 1561, 1500, 1500, 1500]"
1653996893640353912,"[1500, 1500, 1500, 1498, 1561, 1500, 1500, 1500]"
1653996893674272615,"[1500, 1500, 1500, 1498, 1560, 1500, 1500, 1500]"
1653996893703663926,"[1500, 1500, 1500, 1498, 1560, 1500, 1500, 1500]"
1653996893734900918,"[1500, 1500, 1500, 1498, 1560, 1500, 1500, 1500]"
1653996893772236398,"[1500, 1500, 1500, 1498, 1559, 1500, 1500, 1500]"
1653996893803431108,"[1500, 1500, 1500, 1498, 1559, 1500, 1500, 1500]"
1653996893834859196,"[1500, 1500, 1500, 1498, 1558, 1500, 1500, 1500]"
1653996893870799511,"[1500, 1500, 1500, 1498, 1558, 1500, 1500, 1500]"
1653996893903462954,"[1500, 1500, 1500, 1498, 1558, 1500, 1500, 1500]"
1653996893932732698,"[1500, 1500, 1500, 1498, 1557, 1500, 1500, 1500]"
1653996893967786826,"[1500, 1500, 1500, 1498, 1557, 1500, 1500, 1500]"
1653996894002610253,"[1500, 1500, 1500, 1498, 1556, 1500, 1500, 1500]"
1653996894034117975,"[1500, 1500, 1500, 1498, 1556, 1500, 1500, 1500]"
1653996894067593952,"[1500, 1500, 1500, 1498, 1555, 1500, 1500, 1500]"
1653996894101222168,"[1500, 1500, 1500, 1498, 1555, 1500, 1500, 1500]"
1653996894133283088,"[1500, 1500, 1500, 1498, 1555, 1500, 1500, 1500]"
1653996894163538932,"[1500, 1500, 1500, 1497, 1554, 1500, 1500, 1500]"
1653996894199293771,"[1500, 1500, 1500, 1497, 1554, 1500, 1500, 1500]"
1653996894232070567,"[1500, 1500, 1500, 1497, 1553, 1500, 1500, 1500]"
1653996894267582730,"[1500, 1500, 1500, 1497, 1553, 1500, 1500, 1500]"
1653996894301621089,"[1500, 1500, 1500, 1497, 1552, 1500, 1500, 1500]"
1653996894331389521,"[1500, 1500, 1500, 1498, 1552, 1500, 1500, 1500]"
1653996894364842554,"[1500, 1500, 1500, 1498, 1552, 1500, 1500, 1500]"
1653996894402667164,"[1500, 1500, 1500, 1498, 1551, 1500, 1500, 1500]"
1653996894432404065,"[1500, 1500, 1500, 1498, 1551, 1500, 1500, 1500]"
1653996894465512670,"[1500, 1500, 1500, 1498, 1550, 1500, 1500, 1500]"
1653996894494558200,"[1500, 1500, 1500, 1498, 1550, 1500, 1500, 1500]"
1653996894530002799,"[1500, 1500, 1500, 1498, 1549, 1500, 1500, 1500]"
1653996894564881792,"[1500, 1500, 1500, 1498, 1549, 1500, 1500, 1500]"
1653996894592300283,"[1500, 1500, 1500, 1499, 1549, 1500, 1500, 1500]"
1653996894631161256,"[1500, 1500, 1500, 1499, 1548, 1500, 1500, 1500]"
1653996894660539320,"[1500, 1500, 1500, 1499, 1548, 1500, 1500, 1500]"
1653996894694528543,"[1500, 1500, 1500, 1499, 1547, 1500, 1500, 1500]"
1653996894727253356,"[1500, 1500, 1500, 1499, 1547, 1500, 1500, 1500]"
1653996894761847480,"[1500, 1500, 1500, 1499, 1546, 1500, 1500, 1500]"
1653996894791930284,"[1500, 1500, 1500, 1499, 1546, 1500, 1500, 1500]"
1653996894822989379,"[1500, 1500, 1500, 1499, 1545, 1500, 1500, 1500]"
1653996894860643522,"[1500, 1500, 1500, 1499, 1545, 1500, 1500, 1500]"
1653996894892909009,"[1500, 1500, 1500, 1499, 1544, 1500, 1500, 1500]"
1653996894928179554,"[1500, 1500, 1500, 1499, 1544, 1500, 1500, 1500]"
1653996894959927278,"[1500, 1500, 1500, 1499, 1544, 1500, 1500, 1500]"
1653996894990887121,"[1500, 1500, 1500, 1499, 1543, 1500, 1500, 1500]"
1653996895025091734,"[1500, 1500, 1500, 1499, 1543, 1500, 1500, 1500]"
1653996895056081262,"[1500, 1500, 1500, 1499, 1542, 1500, 1500, 1500]"
1653996895100683392,"[1500, 1500, 1500, 1499, 1542, 1500, 1500, 1500]"
1653996895122556230,"[1500, 1500, 1500, 1499, 1541, 1500, 1500, 1500]"
1653996895152875938,"[1500, 1500, 1500, 1499, 1541, 1500, 1500, 1500]"
1653996895190901957,"[1500, 1500, 1500, 1499, 1540, 1500, 1500, 1500]"
1653996895223942138,"[1500, 1500, 1500, 1499, 1540, 1500, 1500, 1500]"
1653996895251367553,"[1500, 1500, 1500, 1499, 1540, 1500, 1500, 1500]"
1653996895288220608,"[1500, 1500, 1500, 1499, 1539, 1500, 1500, 1500]"
1653996895322596876,"[1500, 1500, 1500, 1499, 1539, 1500, 1500, 1500]"
1653996895351464605,"[1500, 1500, 1500, 1499, 1538, 1500, 1500, 1500]"
1653996895387348995,"[1500, 1500, 1500, 1499, 1538, 1500, 1500, 1500]"
1653996895421648992,"[1500, 1500, 1500, 1499, 1537, 1500, 1500, 1500]"
1653996895451659689,"[1500, 1500, 1500, 1499, 1537, 1500, 1500, 1500]"
1653996895488529358,"[1500, 1500, 1500, 1499, 1536, 1500, 1500, 1500]"
1653996895518766865,"[1500, 1500, 1500, 1499, 1536, 1500, 1500, 1500]"
1653996895551689324,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653996895583995992,"[1500, 1500, 1500, 1499, 1464, 1500, 1500, 1500]"
1653996895619990704,"[1500, 1500, 1500, 1499, 1464, 1500, 1500, 1500]"
1653996895650602811,"[1500, 1500, 1500, 1499, 1463, 1500, 1500, 1500]"
1653996895682839842,"[1500, 1500, 1500, 1499, 1463, 1500, 1500, 1500]"
1653996895714730452,"[1500, 1500, 1500, 1499, 1462, 1500, 1500, 1500]"
1653996895750240192,"[1500, 1500, 1500, 1499, 1461, 1500, 1500, 1500]"
1653996895782268732,"[1500, 1500, 1500, 1499, 1461, 1500, 1500, 1500]"
1653996895818022619,"[1500, 1500, 1500, 1499, 1460, 1500, 1500, 1500]"
1653996895849174961,"[1500, 1500, 1500, 1499, 1460, 1500, 1500, 1500]"
1653996895885043075,"[1500, 1500, 1500, 1499, 1459, 1500, 1500, 1500]"
1653996895912460283,"[1500, 1500, 1500, 1500, 1459, 1500, 1500, 1500]"
1653996895950002659,"[1500, 1500, 1500, 1500, 1459, 1500, 1500, 1500]"
1653996895983515385,"[1500, 1500, 1500, 1500, 1458, 1500, 1500, 1500]"
1653996896012749109,"[1500, 1500, 1500, 1500, 1458, 1500, 1500, 1500]"
1653996896045094534,"[1500, 1500, 1500, 1500, 1457, 1500, 1500, 1500]"
1653996896082682098,"[1500, 1500, 1500, 1500, 1457, 1500, 1500, 1500]"
1653996896113320909,"[1500, 1500, 1500, 1500, 1456, 1500, 1500, 1500]"
1653996896144115021,"[1500, 1500, 1500, 1500, 1456, 1500, 1500, 1500]"
1653996896177845845,"[1500, 1500, 1500, 1500, 1455, 1500, 1500, 1500]"
1653996896212863191,"[1500, 1500, 1500, 1500, 1455, 1500, 1500, 1500]"
1653996896247683669,"[1500, 1500, 1500, 1500, 1455, 1500, 1500, 1500]"
1653996896280452309,"[1500, 1500, 1500, 1500, 1454, 1500, 1500, 1500]"
1653996896310031934,"[1500, 1500, 1500, 1500, 1454, 1500, 1500, 1500]"
1653996896343650490,"[1500, 1500, 1500, 1500, 1453, 1500, 1500, 1500]"
1653996896378552504,"[1500, 1500, 1500, 1499, 1453, 1500, 1500, 1500]"
1653996896411642321,"[1500, 1500, 1500, 1499, 1453, 1500, 1500, 1500]"
1653996896443936155,"[1500, 1500, 1500, 1499, 1452, 1500, 1500, 1500]"
1653996896478981268,"[1500, 1500, 1500, 1499, 1452, 1500, 1500, 1500]"
1653996896508941820,"[1500, 1500, 1500, 1499, 1452, 1500, 1500, 1500]"
1653996896540886526,"[1500, 1500, 1500, 1499, 1451, 1500, 1500, 1500]"
1653996896574932757,"[1500, 1500, 1500, 1499, 1451, 1500, 1500, 1500]"
1653996896609630572,"[1500, 1500, 1500, 1499, 1451, 1500, 1500, 1500]"
1653996896641563267,"[1500, 1500, 1500, 1499, 1450, 1500, 1500, 1500]"
1653996896674041720,"[1500, 1500, 1500, 1499, 1450, 1500, 1500, 1500]"
1653996896708173815,"[1500, 1500, 1500, 1500, 1450, 1500, 1500, 1500]"
1653996896741913908,"[1500, 1500, 1500, 1500, 1450, 1500, 1500, 1500]"
1653996896774532118,"[1500, 1500, 1500, 1500, 1449, 1500, 1500, 1500]"
1653996896804321636,"[1500, 1500, 1500, 1500, 1449, 1500, 1500, 1500]"
1653996896841225072,"[1500, 1500, 1500, 1500, 1449, 1500, 1500, 1500]"
1653996896875143939,"[1500, 1500, 1500, 1500, 1449, 1500, 1500, 1500]"
1653996896907404189,"[1500, 1500, 1500, 1500, 1449, 1500, 1500, 1500]"
1653996896939722293,"[1500, 1500, 1500, 1500, 1448, 1500, 1500, 1500]"
1653996896973300756,"[1500, 1500, 1500, 1500, 1448, 1500, 1500, 1500]"
1653996897003091115,"[1500, 1500, 1500, 1499, 1448, 1500, 1500, 1500]"
1653996897037197141,"[1500, 1500, 1500, 1499, 1448, 1500, 1500, 1500]"
1653996897071196222,"[1500, 1500, 1500, 1499, 1448, 1500, 1500, 1500]"
1653996897103008437,"[1500, 1500, 1500, 1499, 1448, 1500, 1500, 1500]"
1653996897137143783,"[1500, 1500, 1500, 1499, 1448, 1500, 1500, 1500]"
1653996897171775838,"[1500, 1500, 1500, 1499, 1448, 1500, 1500, 1500]"
1653996897201779764,"[1500, 1500, 1500, 1499, 1447, 1500, 1500, 1500]"
1653996897233604908,"[1500, 1500, 1500, 1499, 1447, 1500, 1500, 1500]"
