rosbagTimestamp,layout,dim,-,label,size,stride,data_offset,data
1653996901513509322,,,"""distance-confidence""",2,0,0,"[1210.0, 100.0]"
1653996901596704915,,,"""distance-confidence""",2,0,0,"[1210.0, 100.0]"
1653996901677452594,,,"""distance-confidence""",2,0,0,"[1210.0, 100.0]"
1653996901756155875,,,"""distance-confidence""",2,0,0,"[1210.0, 100.0]"
1653996901835747838,,,"""distance-confidence""",2,0,0,"[1210.0, 100.0]"
1653996901915616953,,,"""distance-confidence""",2,0,0,"[1210.0, 100.0]"
1653996901997065977,,,"""distance-confidence""",2,0,0,"[1210.0, 100.0]"
1653996902074428538,,,"""distance-confidence""",2,0,0,"[1210.0, 100.0]"
1653996902156795373,,,"""distance-confidence""",2,0,0,"[1212.0, 100.0]"
1653996902239665473,,,"""distance-confidence""",2,0,0,"[1212.0, 100.0]"
1653996902315050759,,,"""distance-confidence""",2,0,0,"[1212.0, 100.0]"
1653996902394201102,,,"""distance-confidence""",2,0,0,"[1212.0, 100.0]"
1653996902493948629,,,"""distance-confidence""",2,0,0,"[1214.0, 100.0]"
1653996902556024126,,,"""distance-confidence""",2,0,0,"[1214.0, 100.0]"
1653996902639644876,,,"""distance-confidence""",2,0,0,"[1214.0, 100.0]"
1653996902719936264,,,"""distance-confidence""",2,0,0,"[1214.0, 100.0]"
1653996902808976217,,,"""distance-confidence""",2,0,0,"[1217.0, 100.0]"
1653996902875474686,,,"""distance-confidence""",2,0,0,"[1217.0, 100.0]"
1653996902974882870,,,"""distance-confidence""",2,0,0,"[1217.0, 100.0]"
1653996903087449142,,,"""distance-confidence""",2,0,0,"[1219.0, 100.0]"
1653996903165197255,,,"""distance-confidence""",2,0,0,"[1219.0, 100.0]"
1653996903246513071,,,"""distance-confidence""",2,0,0,"[1219.0, 100.0]"
1653996903325208057,,,"""distance-confidence""",2,0,0,"[1219.0, 100.0]"
1653996903421480296,,,"""distance-confidence""",2,0,0,"[1220.0, 100.0]"
1653996903536638837,,,"""distance-confidence""",2,0,0,"[1220.0, 100.0]"
1653996903615661823,,,"""distance-confidence""",2,0,0,"[1220.0, 100.0]"
1653996903690927751,,,"""distance-confidence""",2,0,0,"[1222.0, 100.0]"
1653996903772959606,,,"""distance-confidence""",2,0,0,"[1222.0, 100.0]"
1653996903854580394,,,"""distance-confidence""",2,0,0,"[1222.0, 100.0]"
1653996903931484390,,,"""distance-confidence""",2,0,0,"[1222.0, 100.0]"
1653996904026881518,,,"""distance-confidence""",2,0,0,"[1223.0, 100.0]"
1653996904089797051,,,"""distance-confidence""",2,0,0,"[1223.0, 100.0]"
1653996904172832474,,,"""distance-confidence""",2,0,0,"[1223.0, 100.0]"
1653996904253673636,,,"""distance-confidence""",2,0,0,"[1223.0, 100.0]"
1653996904346099850,,,"""distance-confidence""",2,0,0,"[1223.0, 100.0]"
1653996904411600328,,,"""distance-confidence""",2,0,0,"[1223.0, 100.0]"
1653996904506451245,,,"""distance-confidence""",2,0,0,"[1223.0, 100.0]"
1653996904574158835,,,"""distance-confidence""",2,0,0,"[1223.0, 100.0]"
1653996904671119489,,,"""distance-confidence""",2,0,0,"[1222.0, 100.0]"
1653996904779547161,,,"""distance-confidence""",2,0,0,"[1222.0, 100.0]"
1653996904864954374,,,"""distance-confidence""",2,0,0,"[1222.0, 100.0]"
1653996904954599845,,,"""distance-confidence""",2,0,0,"[1221.0, 100.0]"
1653996905071487592,,,"""distance-confidence""",2,0,0,"[1221.0, 100.0]"
1653996905149802471,,,"""distance-confidence""",2,0,0,"[1221.0, 100.0]"
1653996905228544599,,,"""distance-confidence""",2,0,0,"[1217.0, 100.0]"
1653996905308734688,,,"""distance-confidence""",2,0,0,"[1217.0, 100.0]"
1653996905391085526,,,"""distance-confidence""",2,0,0,"[1217.0, 100.0]"
1653996905466843649,,,"""distance-confidence""",2,0,0,"[1217.0, 100.0]"
1653996905550225225,,,"""distance-confidence""",2,0,0,"[1214.0, 100.0]"
1653996905630863579,,,"""distance-confidence""",2,0,0,"[1214.0, 100.0]"
1653996905708202767,,,"""distance-confidence""",2,0,0,"[1214.0, 100.0]"
1653996905786718746,,,"""distance-confidence""",2,0,0,"[1214.0, 100.0]"
1653996905885021428,,,"""distance-confidence""",2,0,0,"[1212.0, 100.0]"
1653996905949935358,,,"""distance-confidence""",2,0,0,"[1212.0, 100.0]"
1653996906030118516,,,"""distance-confidence""",2,0,0,"[1212.0, 100.0]"
1653996906109733040,,,"""distance-confidence""",2,0,0,"[1212.0, 100.0]"
1653996906208064304,,,"""distance-confidence""",2,0,0,"[1209.0, 100.0]"
1653996906269780447,,,"""distance-confidence""",2,0,0,"[1209.0, 100.0]"
1653996906367522490,,,"""distance-confidence""",2,0,0,"[1209.0, 100.0]"
1653996906429084344,,,"""distance-confidence""",2,0,0,"[1209.0, 100.0]"
1653996906523311674,,,"""distance-confidence""",2,0,0,"[1206.0, 100.0]"
1653996906591983722,,,"""distance-confidence""",2,0,0,"[1206.0, 100.0]"
1653996906682780189,,,"""distance-confidence""",2,0,0,"[1206.0, 100.0]"
1653996906749348660,,,"""distance-confidence""",2,0,0,"[1206.0, 100.0]"
1653996906843764974,,,"""distance-confidence""",2,0,0,"[1204.0, 100.0]"
1653996906908691952,,,"""distance-confidence""",2,0,0,"[1204.0, 100.0]"
1653996907009619940,,,"""distance-confidence""",2,0,0,"[1204.0, 100.0]"
1653996907142703799,,,"""distance-confidence""",2,0,0,"[1201.0, 100.0]"
1653996907196502298,,,"""distance-confidence""",2,0,0,"[1201.0, 100.0]"
1653996907292596988,,,"""distance-confidence""",2,0,0,"[1201.0, 100.0]"
1653996907355839120,,,"""distance-confidence""",2,0,0,"[1201.0, 100.0]"
1653996907455115850,,,"""distance-confidence""",2,0,0,"[1199.0, 100.0]"
1653996907567832615,,,"""distance-confidence""",2,0,0,"[1199.0, 100.0]"
1653996907645609406,,,"""distance-confidence""",2,0,0,"[1199.0, 100.0]"
1653996907746825669,,,"""distance-confidence""",2,0,0,"[1196.0, 100.0]"
1653996907807827946,,,"""distance-confidence""",2,0,0,"[1196.0, 100.0]"
1653996907891408658,,,"""distance-confidence""",2,0,0,"[1196.0, 100.0]"
1653996907963848700,,,"""distance-confidence""",2,0,0,"[1196.0, 100.0]"
1653996908062294779,,,"""distance-confidence""",2,0,0,"[1193.0, 100.0]"
1653996908125899458,,,"""distance-confidence""",2,0,0,"[1193.0, 100.0]"
1653996908210720110,,,"""distance-confidence""",2,0,0,"[1193.0, 100.0]"
1653996908287039995,,,"""distance-confidence""",2,0,0,"[1193.0, 100.0]"
1653996908381376002,,,"""distance-confidence""",2,0,0,"[1190.0, 100.0]"
1653996908449267205,,,"""distance-confidence""",2,0,0,"[1190.0, 100.0]"
1653996908544148539,,,"""distance-confidence""",2,0,0,"[1190.0, 100.0]"
1653996908609136813,,,"""distance-confidence""",2,0,0,"[1190.0, 100.0]"
1653996908705505705,,,"""distance-confidence""",2,0,0,"[1188.0, 100.0]"
1653996908767245132,,,"""distance-confidence""",2,0,0,"[1188.0, 100.0]"
1653996908864147858,,,"""distance-confidence""",2,0,0,"[1188.0, 100.0]"
1653996908926553760,,,"""distance-confidence""",2,0,0,"[1188.0, 100.0]"
