rosbagTimestamp,layout,dim,-,label,size,stride,data_offset,data
1653900464430058204,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900464507491839,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900464588215487,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900464666390853,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900464744769121,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900464829167572,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900464925389678,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900464988643197,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900465083059092,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900465212717107,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900465326307795,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900465403632040,,,"""distance-confidence""",2,0,0,"[956.0, 100.0]"
1653900465486145504,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900465563886603,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900465646980185,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900465726376071,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900465818194331,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900465888204883,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900465983398423,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466045269673,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466141888620,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466266358982,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466395814968,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466460317216,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466556594043,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466672592099,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466751250843,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466831366692,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900466907896675,,,"""distance-confidence""",2,0,0,"[957.0, 100.0]"
1653900467005652196,,,"""distance-confidence""",2,0,0,"[960.0, 100.0]"
1653900467118731633,,,"""distance-confidence""",2,0,0,"[960.0, 100.0]"
1653900467198371688,,,"""distance-confidence""",2,0,0,"[960.0, 100.0]"
1653900467290977634,,,"""distance-confidence""",2,0,0,"[963.0, 100.0]"
1653900467358038506,,,"""distance-confidence""",2,0,0,"[963.0, 100.0]"
1653900467452370481,,,"""distance-confidence""",2,0,0,"[963.0, 100.0]"
1653900467515773257,,,"""distance-confidence""",2,0,0,"[963.0, 100.0]"
1653900467614772408,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653900467678840729,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653900467775141473,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653900467835125561,,,"""distance-confidence""",2,0,0,"[980.0, 100.0]"
1653900467933046685,,,"""distance-confidence""",2,0,0,"[1004.0, 100.0]"
1653900468015875935,,,"""distance-confidence""",2,0,0,"[1004.0, 100.0]"
1653900468091510688,,,"""distance-confidence""",2,0,0,"[1004.0, 100.0]"
1653900468172360191,,,"""distance-confidence""",2,0,0,"[1004.0, 100.0]"
1653900468252928523,,,"""distance-confidence""",2,0,0,"[1022.0, 100.0]"
