rosbagTimestamp,channels
1653900465439630834,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900465739699594,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900466440227237,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900466449930492,"[1500, 1500, 1500, 1503, 1500, 1500, 1500, 1500]"
1653900466459129288,"[1500, 1500, 1500, 1506, 1500, 1500, 1500, 1500]"
1653900466469389193,"[1500, 1500, 1502, 1516, 1500, 1500, 1500, 1500]"
1653900466479947064,"[1500, 1500, 1509, 1522, 1500, 1500, 1500, 1500]"
1653900466490003723,"[1500, 1500, 1512, 1530, 1500, 1500, 1500, 1500]"
1653900466499104583,"[1500, 1500, 1516, 1539, 1500, 1500, 1500, 1500]"
1653900466509864449,"[1500, 1500, 1519, 1558, 1500, 1500, 1500, 1500]"
1653900466518890402,"[1500, 1500, 1525, 1566, 1500, 1500, 1500, 1500]"
1653900466529396530,"[1500, 1500, 1526, 1571, 1500, 1500, 1500, 1500]"
1653900466540171835,"[1500, 1500, 1526, 1573, 1500, 1500, 1500, 1500]"
1653900466609113233,"[1500, 1500, 1526, 1575, 1500, 1500, 1500, 1500]"
1653900466660317856,"[1500, 1500, 1526, 1577, 1500, 1500, 1500, 1500]"
1653900466679455878,"[1500, 1500, 1521, 1577, 1500, 1500, 1500, 1500]"
1653900466689324989,"[1500, 1500, 1521, 1577, 1500, 1500, 1500, 1500]"
1653900466698862119,"[1500, 1500, 1521, 1578, 1500, 1500, 1500, 1500]"
1653900466709149217,"[1500, 1500, 1519, 1578, 1500, 1500, 1500, 1500]"
1653900466718665690,"[1500, 1500, 1519, 1578, 1500, 1500, 1500, 1500]"
1653900466729925249,"[1500, 1500, 1519, 1580, 1500, 1500, 1500, 1500]"
1653900466739406343,"[1500, 1500, 1518, 1580, 1500, 1500, 1500, 1500]"
1653900466808771070,"[1500, 1500, 1518, 1580, 1500, 1500, 1500, 1500]"
1653900466820011124,"[1500, 1500, 1517, 1580, 1500, 1500, 1500, 1500]"
1653900466829360140,"[1500, 1500, 1515, 1566, 1500, 1500, 1500, 1500]"
1653900466838601769,"[1500, 1500, 1511, 1557, 1500, 1500, 1500, 1500]"
1653900466849659609,"[1500, 1500, 1508, 1550, 1500, 1500, 1500, 1500]"
1653900466858749873,"[1500, 1500, 1506, 1534, 1500, 1500, 1500, 1500]"
1653900466868924730,"[1500, 1500, 1501, 1527, 1500, 1500, 1500, 1500]"
1653900466879102622,"[1500, 1500, 1500, 1521, 1500, 1500, 1500, 1500]"
1653900466889425707,"[1500, 1500, 1500, 1516, 1500, 1500, 1500, 1500]"
1653900466899639096,"[1500, 1500, 1500, 1508, 1500, 1500, 1500, 1500]"
1653900466908883238,"[1500, 1500, 1500, 1505, 1500, 1500, 1500, 1500]"
1653900466919238780,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900466929435731,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900466939208935,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900467149156662,"[1500, 1500, 1500, 1501, 1500, 1500, 1500, 1500]"
1653900467158947634,"[1500, 1500, 1500, 1503, 1500, 1500, 1500, 1500]"
1653900467169038241,"[1500, 1500, 1500, 1508, 1500, 1500, 1500, 1500]"
1653900467179580388,"[1500, 1500, 1500, 1512, 1500, 1500, 1500, 1500]"
1653900467188783331,"[1500, 1500, 1500, 1520, 1500, 1500, 1500, 1500]"
1653900467198979424,"[1500, 1500, 1500, 1524, 1500, 1500, 1500, 1500]"
