rosbagTimestamp,layout,dim,-,label,size,stride,data_offset,data
1653900867885499524,,,"""distance-confidence""",2,0,0,"[843.0, 100.0]"
1653900867966185228,,,"""distance-confidence""",2,0,0,"[843.0, 100.0]"
1653900868046637798,,,"""distance-confidence""",2,0,0,"[843.0, 100.0]"
1653900868124332371,,,"""distance-confidence""",2,0,0,"[843.0, 100.0]"
1653900868208160316,,,"""distance-confidence""",2,0,0,"[844.0, 100.0]"
1653900868286241221,,,"""distance-confidence""",2,0,0,"[844.0, 100.0]"
1653900868369631732,,,"""distance-confidence""",2,0,0,"[844.0, 100.0]"
1653900868448743733,,,"""distance-confidence""",2,0,0,"[844.0, 100.0]"
1653900868526032234,,,"""distance-confidence""",2,0,0,"[846.0, 100.0]"
1653900868606632511,,,"""distance-confidence""",2,0,0,"[846.0, 100.0]"
1653900868690142283,,,"""distance-confidence""",2,0,0,"[846.0, 100.0]"
1653900868770699359,,,"""distance-confidence""",2,0,0,"[846.0, 100.0]"
1653900868849158308,,,"""distance-confidence""",2,0,0,"[847.0, 100.0]"
1653900868927879856,,,"""distance-confidence""",2,0,0,"[847.0, 100.0]"
1653900869007865713,,,"""distance-confidence""",2,0,0,"[847.0, 100.0]"
1653900869086791969,,,"""distance-confidence""",2,0,0,"[847.0, 100.0]"
1653900869168261366,,,"""distance-confidence""",2,0,0,"[849.0, 100.0]"
1653900869249953069,,,"""distance-confidence""",2,0,0,"[849.0, 100.0]"
1653900869326541955,,,"""distance-confidence""",2,0,0,"[849.0, 100.0]"
1653900869407641686,,,"""distance-confidence""",2,0,0,"[849.0, 100.0]"
1653900869490793460,,,"""distance-confidence""",2,0,0,"[850.0, 100.0]"
1653900869570118565,,,"""distance-confidence""",2,0,0,"[850.0, 100.0]"
1653900869649341140,,,"""distance-confidence""",2,0,0,"[850.0, 100.0]"
1653900869725264079,,,"""distance-confidence""",2,0,0,"[850.0, 100.0]"
1653900869807204988,,,"""distance-confidence""",2,0,0,"[851.0, 100.0]"
1653900869887387138,,,"""distance-confidence""",2,0,0,"[851.0, 100.0]"
1653900869968111718,,,"""distance-confidence""",2,0,0,"[851.0, 100.0]"
1653900870046425718,,,"""distance-confidence""",2,0,0,"[851.0, 100.0]"
1653900870130387471,,,"""distance-confidence""",2,0,0,"[853.0, 100.0]"
1653900870209687913,,,"""distance-confidence""",2,0,0,"[853.0, 100.0]"
1653900870286997478,,,"""distance-confidence""",2,0,0,"[853.0, 100.0]"
1653900870365762672,,,"""distance-confidence""",2,0,0,"[853.0, 100.0]"
1653900870450136366,,,"""distance-confidence""",2,0,0,"[854.0, 100.0]"
1653900870529919111,,,"""distance-confidence""",2,0,0,"[854.0, 100.0]"
1653900870607052257,,,"""distance-confidence""",2,0,0,"[854.0, 100.0]"
1653900870688436469,,,"""distance-confidence""",2,0,0,"[854.0, 100.0]"
1653900870766980315,,,"""distance-confidence""",2,0,0,"[856.0, 100.0]"
1653900870845591876,,,"""distance-confidence""",2,0,0,"[856.0, 100.0]"
1653900870925627592,,,"""distance-confidence""",2,0,0,"[856.0, 100.0]"
1653900870989389938,,,"""distance-confidence""",2,0,0,"[856.0, 100.0]"
1653900871088969612,,,"""distance-confidence""",2,0,0,"[857.0, 100.0]"
1653900871170782669,,,"""distance-confidence""",2,0,0,"[857.0, 100.0]"
1653900871249390965,,,"""distance-confidence""",2,0,0,"[857.0, 100.0]"
1653900871312436688,,,"""distance-confidence""",2,0,0,"[857.0, 100.0]"
1653900871408522221,,,"""distance-confidence""",2,0,0,"[858.0, 100.0]"
1653900871488523503,,,"""distance-confidence""",2,0,0,"[858.0, 100.0]"
1653900871568395567,,,"""distance-confidence""",2,0,0,"[858.0, 100.0]"
1653900871632790518,,,"""distance-confidence""",2,0,0,"[858.0, 100.0]"
1653900871730522335,,,"""distance-confidence""",2,0,0,"[858.0, 100.0]"
1653900871808174828,,,"""distance-confidence""",2,0,0,"[858.0, 100.0]"
1653900871890996948,,,"""distance-confidence""",2,0,0,"[858.0, 100.0]"
1653900871954888886,,,"""distance-confidence""",2,0,0,"[858.0, 100.0]"
1653900872050544252,,,"""distance-confidence""",2,0,0,"[859.0, 100.0]"
1653900872127396322,,,"""distance-confidence""",2,0,0,"[859.0, 100.0]"
1653900872209502379,,,"""distance-confidence""",2,0,0,"[859.0, 100.0]"
1653900872272193764,,,"""distance-confidence""",2,0,0,"[859.0, 100.0]"
1653900872369790548,,,"""distance-confidence""",2,0,0,"[861.0, 100.0]"
1653900872431711760,,,"""distance-confidence""",2,0,0,"[861.0, 100.0]"
1653900872529852036,,,"""distance-confidence""",2,0,0,"[861.0, 100.0]"
1653900872591723399,,,"""distance-confidence""",2,0,0,"[861.0, 100.0]"
1653900872692121509,,,"""distance-confidence""",2,0,0,"[862.0, 100.0]"
1653900872756603243,,,"""distance-confidence""",2,0,0,"[862.0, 100.0]"
1653900872850864719,,,"""distance-confidence""",2,0,0,"[862.0, 100.0]"
1653900872916086071,,,"""distance-confidence""",2,0,0,"[862.0, 100.0]"
1653900873009748116,,,"""distance-confidence""",2,0,0,"[862.0, 100.0]"
1653900873087247579,,,"""distance-confidence""",2,0,0,"[862.0, 100.0]"
1653900873170239463,,,"""distance-confidence""",2,0,0,"[862.0, 100.0]"
1653900873235263645,,,"""distance-confidence""",2,0,0,"[862.0, 100.0]"
