rosbagTimestamp,channels
1653900870424595898,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900870457003373,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870489570892,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870522148782,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870557172861,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870587659575,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870622904118,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870654832347,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870690852088,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870721620457,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870754021681,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870787906086,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870820973667,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870851592401,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870886945678,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870919615621,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870951235324,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900870985780375,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871020037401,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871051818657,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871085792114,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871120495967,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871148672535,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871181324796,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871218888991,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871249773479,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871283351990,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871314852916,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871347453904,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871381231719,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871417814110,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871447711707,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871480734359,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871514325839,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871546689678,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871579374798,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871610067051,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871641369295,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871676369857,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871707257857,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871742672466,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871775958836,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871809700303,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871842181852,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871877206084,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871915646285,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871941792672,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900871972008734,"[1500, 1500, 1500, 1499, 1500, 1500, 1500, 1500]"
1653900872005892402,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872040773814,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872073741497,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872105168820,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872137999103,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872171822950,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872205587339,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872239592393,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872270370784,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872303785886,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872339090856,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872372113215,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872403643120,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872438548109,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872468293090,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872504543536,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872537853977,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872568369002,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872603125878,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872631993171,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872667588358,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872701232424,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872737221340,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872768271322,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872801041586,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872831639929,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872866971457,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872899472581,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872932195250,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872962471520,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900872996341345,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873030006281,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873061501553,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873097661920,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873127502273,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873163149520,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873197992506,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873227431665,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873259707697,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873292944204,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873327924118,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873361854546,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873394009141,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873428028998,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873459391109,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873492566139,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873524739638,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873557186490,"[1500, 1500, 1500, 1498, 1500, 1500, 1500, 1500]"
1653900873590823035,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873624727072,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873657442367,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873690098823,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873724975407,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873757075541,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873789285637,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873824671271,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873857739796,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873889693273,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873922497270,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873952933913,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900873989273423,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874021618800,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874056156463,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874086149280,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874119541504,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874152083116,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874184800483,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874218418381,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874251026953,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874284040530,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874316829752,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874349770006,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874384280100,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874420732593,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874449381918,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874483767059,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874516501332,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874549369036,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874582102257,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874614342733,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874646514524,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874681308539,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874715748763,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874746668549,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874777311513,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874814688342,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874845120409,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874879471055,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874912593464,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874943520509,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900874976398233,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900875006822152,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900875044993389,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900875076585321,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900875109058605,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900875145696677,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900875177284944,"[1500, 1500, 1500, 1497, 1500, 1500, 1500, 1500]"
1653900875207367273,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875240122095,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875273010595,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875305619087,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875341218046,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875372336413,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875405525987,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875440349813,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875470616460,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875505855975,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875539105868,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875571169947,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875603423716,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875637050074,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875669540999,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875702561673,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875737299377,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875767256898,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875803761387,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875836366443,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875868241961,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875899161321,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875931498490,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875966460969,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900875999968297,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876033172541,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876066680095,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876099987920,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876133045202,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876165383423,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876199486572,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876231527747,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876263792399,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876296857903,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876332298073,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876362817621,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876397053139,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876427386082,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876463898878,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876496563784,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876528061984,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876561616348,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876592168600,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876627314425,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876660843468,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876692519778,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876726879439,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876757534716,"[1500, 1500, 1500, 1496, 1500, 1500, 1500, 1500]"
1653900876790638150,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900876824961454,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900876860011157,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900876891704468,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900876921274509,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900876957717853,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900876990425439,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877026306104,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877057395787,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877089476452,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877121692434,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877156295712,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877188539655,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877221736553,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877252812690,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877289557363,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877320329382,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877352948940,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877386740476,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877420596478,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877450427174,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877486175802,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877518525240,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877552501563,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
1653900877583944322,"[1500, 1500, 1500, 1495, 1500, 1500, 1500, 1500]"
